individualID,cfc_LMA_freshWeight,cfc_LMA_dryWeight,leafArea,leafMassPerArea,dryMassFraction,cfc_lignin_dryWeight,ligninPercent,cellulosePercent,decimalLatitude,decimalLongitude,coordinateUncertainty,elevationUncertainty,clipLength,clipWidth,subsample1Height,subsample2Height,subsample3Height,cfc_elements_dryWeight,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,cfc_chlorophyll_freshWeight,extractChlAConc,extractChlBConc,extractCarotConc,nitrogenPercent,carbonPercent,CNratio,uid,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,cfcOnlyTag,supportingStemIndividualID,previouslyTaggedAs,taxonID,scientificName,plotType,subtype,latitude,longitude,datum,utmZone,easting,northing,horzUncert,crdSource,elevation,vertUncert,nlcdClass,appMods,geometry,UTM_E,UTM_N,stemDiameter,height,baseCrownHeight,maxCrownDiameter,ninetyCrownDiameter
NEON.PLA.D02.SCBI.13004,3.108,1.572,18126.7,86.7,0.506,0.476,18.81,20.38,38.900539,-78.161859,20.1,0.17,NA,NA,7,NA,NA,0.108,0.15,0.58,0.52,0.34,0.12,241.5,38.7,3.6,75.2,12.4,0.082,11.63,3.58,2.55,2.55,49,19.2,cc511156-116d-4a51-91b1-2762be4a82e0,vst_SCBI_2017,D02,SCBI,SCBI_005,21,NA,21,3.7,73.4,Y,NA,NA,QUAL,Quercus alba L.,distributed,basePlot,38.900357,-78.16211,WGS84,17N,746103.668,4309548.336,0.11,GeoXH 6000,274.31,0.11,deciduousForest,bgc|brd|cdw|cfc|dhp|hbp|sme|vst,"c(-78.162109745793, 38.9003574626235)",746107.2137935255,4309549.393046959,NA,NA,NA,NA,NA
NEON.PLA.D02.SCBI.00279,1.842,0.902,11001,82,0.49,0.498,17.17,19.41,38.900539,-78.161859,20.1,0.17,NA,NA,25.1,27,NA,0.105,0.22,0.88,1,0.37,0.18,31.3,71.9,7.2,18.5,25.2,0.0756,9.99,2.96,2.64,2.24,49.67,22.2,283e217d-f089-467e-988e-bf1c2b8214ce,vst_SCBI_2014,D02,SCBI,SCBI_005,31,NA,41,3.1,258.4,NA,NA,NA,FRAM2,Fraxinus americana L.,distributed,basePlot,38.900539,-78.161859,WGS84,17N,746124.796,4309569.174,0.14,GeoXH 6000,269.78,0.17,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-78.1618589190983, 38.900539093772)",746121.7593167262,4309568.550658444,103.3,30.2,NA,30.9,23.7
NEON.PLA.D02.SCBI.00279,1.842,0.902,11001,82,0.49,0.498,17.17,19.41,38.900539,-78.161859,20.1,0.17,NA,NA,25.1,27,NA,0.11,0.22,0.89,0.97,0.37,0.17,29.7,63.1,6.3,19.6,23.9,0.0756,9.99,2.96,2.64,2.24,49.67,22.2,283e217d-f089-467e-988e-bf1c2b8214ce,vst_SCBI_2014,D02,SCBI,SCBI_005,31,NA,41,3.1,258.4,NA,NA,NA,FRAM2,Fraxinus americana L.,distributed,basePlot,38.900539,-78.161859,WGS84,17N,746124.796,4309569.174,0.14,GeoXH 6000,269.78,0.17,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-78.1618589190983, 38.900539093772)",746121.7593167262,4309568.550658444,103.3,30.2,NA,30.9,23.7
NEON.PLA.D02.SCBI.00279,1.842,0.902,11001,82,0.49,0.535,17.74,19.25,38.900539,-78.161859,20.1,0.17,NA,NA,25.1,27,NA,0.105,0.22,0.88,1,0.37,0.18,31.3,71.9,7.2,18.5,25.2,0.0756,9.99,2.96,2.64,2.24,49.67,22.2,283e217d-f089-467e-988e-bf1c2b8214ce,vst_SCBI_2014,D02,SCBI,SCBI_005,31,NA,41,3.1,258.4,NA,NA,NA,FRAM2,Fraxinus americana L.,distributed,basePlot,38.900539,-78.161859,WGS84,17N,746124.796,4309569.174,0.14,GeoXH 6000,269.78,0.17,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-78.1618589190983, 38.900539093772)",746121.7593167262,4309568.550658444,103.3,30.2,NA,30.9,23.7
NEON.PLA.D02.SCBI.00279,1.842,0.902,11001,82,0.49,0.535,17.74,19.25,38.900539,-78.161859,20.1,0.17,NA,NA,25.1,27,NA,0.11,0.22,0.89,0.97,0.37,0.17,29.7,63.1,6.3,19.6,23.9,0.0756,9.99,2.96,2.64,2.24,49.67,22.2,283e217d-f089-467e-988e-bf1c2b8214ce,vst_SCBI_2014,D02,SCBI,SCBI_005,31,NA,41,3.1,258.4,NA,NA,NA,FRAM2,Fraxinus americana L.,distributed,basePlot,38.900539,-78.161859,WGS84,17N,746124.796,4309569.174,0.14,GeoXH 6000,269.78,0.17,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-78.1618589190983, 38.900539093772)",746121.7593167262,4309568.550658444,103.3,30.2,NA,30.9,23.7
NEON.PLA.D02.SCBI.13003,5.022,1.667,22112.5,75.4,0.332,0.463,13.23,21.41,38.900539,-78.161859,20.1,0.17,NA,NA,25.6,26.3,26.6,0.108,0.06,1.72,0.74,0.63,0.13,212.8,272.6,3.7,22,24.2,0.0952,11.39,3.8,2.41,2.29,46.2,20.2,086be7e1-6b06-40e2-b8a6-b734f8a9f78a,vst_SCBI_2017,D02,SCBI,SCBI_005,41,NA,61,9.6,217.2,Y,NA,NA,LITU,Liriodendron tulipifera L.,distributed,basePlot,38.900714,-78.161634,WGS84,17N,746143.728,4309589.173,0.15,GeoXH 6000,273.17,0.2,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-78.1616336858904, 38.900713788347)",746137.9238484973,4309581.526312787,NA,NA,NA,NA,NA
NEON.PLA.D02.SCBI.01151,2.324,0.874,13428.9,65.1,0.376,0.478,16.3,14.53,38.896935,-78.146456,20.3,0.5,NA,NA,24.1,NA,NA,0.106,0.16,1.68,1.98,0.55,0.11,67.5,53.2,25.1,46.9,16.5,0.091,9.52,3.01,3.2,2.25,47.51,21.2,ba9b78c0-7151-4cd6-8aa6-3894843c1558,vst_SCBI_2014,D02,SCBI,SCBI_004,41,NA,41,5.2,53.1,NA,NA,NA,JUNI,Juglans nigra L.,distributed,basePlot,38.896935,-78.146456,WGS84,17N,747473.33,4309210.863,0.3,GeoXH 6000,312.55,0.5,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-78.1464556431766, 38.8969352887955)",747477.4883602241,4309213.9851851715,53.8,25.1,NA,20.3,14.1
NEON.PLA.D02.SCBI.13002,3.022,1.477,14882.7,99.2,0.489,0.526,16.52,22.98,38.896935,-78.146456,20.3,0.5,NA,NA,24,NA,NA,0.105,0.17,0.99,1.31,0.28,0.17,312.5,75,8.1,41.8,29.5,0.0768,8.86,2.68,2.06,1.92,48.87,25.4,d2038a57-fb05-41d0-96c1-eb3826a8d8da,vst_SCBI_2017,D02,SCBI,SCBI_004,31,NA,21,6.5,72.1,Y,NA,NA,FRAM2,Fraxinus americana L.,distributed,basePlot,38.896718,-78.146703,WGS84,17N,747452.623,4309186.107,0.19,GeoXH 6000,310.82,0.24,deciduousForest,bgc|brd|cdw|cfc|dhp|hbp|sme|vst,"c(-78.1467030572893, 38.8967183098574)",747458.8083636252,4309188.104818015,NA,NA,NA,NA,NA
NEON.PLA.D02.SCBI.13001,2.713,1.297,12054.3,107.6,0.478,0.489,24.84,19.7,38.896935,-78.146456,20.3,0.5,NA,NA,27.3,27.3,NA,0.106,0.1,0.66,0.95,0.24,0.11,138.8,45.3,8.6,30.1,29.2,0.081,9.94,2.83,2.22,2.09,46.91,22.5,7bd79b4f-31ae-4ce3-803f-97bfc1a24e2b,vst_SCBI_2017,D02,SCBI,SCBI_004,23,NA,25,14.4,302.4,Y,NA,NA,QUVE,Quercus velutina Lam.,distributed,basePlot,38.896735,-78.146245,WGS84,17N,747492.332,4309189.196,0.2,GeoXH 6000,313.15,0.23,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-78.1462446007178, 38.8967349259255)",747480.1736778729,4309196.911905848,NA,NA,NA,NA,NA
NEON.PLA.D02.SCBI.03301,5.142,2.124,24929.3,85.2,0.413,0.518,13.15,15.6,38.890566,-78.139431,20.1,0.1,NA,NA,9.2,NA,NA,0.108,0.17,1.48,1.65,0.28,0.11,31.1,55.5,10.4,32.6,15,0.0778,9.58,3.37,3.23,2.46,47.57,19.3,13d1a6fd-019b-4db1-94ea-bd0486942ba7,vst_SCBI_2014,D02,SCBI,SCBI_045,21,NA,21,15.6,37.6,NA,NA,NA,JUNI,Juglans nigra L.,tower,basePlot,38.890388,-78.139665,WGS84,17N,748085.124,4308502.627,0.2,GeoXH 6000,359.09,0.3,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-78.1396652920743, 38.8903884215562)",748094.6422645568,4308514.986718437,56.2,21.4,NA,NA,NA
NEON.PLA.D02.SCBI.02574,4.892,1.659,19852.7,83.6,0.339,0.494,19.48,18.72,38.894615,-78.13964,20.2,0.23,NA,NA,24.7,NA,NA,0.103,0.13,1.07,0.89,0.59,0.13,1514.2,42.1,8.9,23.1,28.4,0.0865,11.97,3.76,2.59,2.28,47.82,21,1adc0b4c-e0d1-4591-b291-fa4caf7371cb,vst_SCBI_2014,D02,SCBI,SCBI_049,23,NA,43,9.1,208.3,NA,NA,NA,LITU,Liriodendron tulipifera L.,tower,basePlot,38.894621,-78.139404,WGS84,17N,748093.013,4308973.178,0.26,GeoXH 6000,371.52,0.49,deciduousForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-78.1394044281146, 38.8946212790764)",748088.6987972977,4308965.165656083,43.5,26.5,NA,NA,NA
